num_If,num_Switch,num_Loof,num_Break,num_Priority,num_Sort,num_Hash_Map,num_Hash_Set,num_Recursive,num_Nasted_Loop,num_Variables,num_Method,num_State,complexity
0,0,0,0,0,0,0,0,0,0,2,1,0,2
1,0,1,0,0,0,0,0,0,0,3,1,5,2
2,0,0,0,0,0,0,0,0,0,4,1,4,2
0,0,1,0,0,0,0,0,1,0,6,2,3,2
11,0,0,0,0,0,0,0,0,0,7,1,26,2
6,0,3,0,0,1,0,0,3,0,13,11,25,2
2,0,3,0,0,0,0,0,1,0,9,6,11,2
0,0,5,0,0,0,0,0,0,2,12,8,12,2
0,0,0,0,0,0,0,0,0,0,10,1,0,2
0,0,0,0,0,0,0,0,0,0,3,1,0,2
0,0,0,0,0,0,0,0,0,0,2,1,1,2
4,0,1,0,0,0,0,0,0,0,6,1,10,2
10,0,2,0,0,0,0,0,1,0,9,8,30,2
1,0,0,0,0,0,0,0,0,0,4,1,1,2
9,0,22,0,0,4,1,1,5,2,34,21,66,2
2,0,1,0,0,0,0,0,2,0,6,6,15,2
10,0,6,0,0,0,0,0,5,0,13,17,49,2
3,0,0,0,0,0,0,0,0,0,4,1,9,2
2,0,0,0,0,0,0,0,0,0,7,1,2,2
1,0,0,0,0,0,0,0,0,0,6,2,4,2
0,0,2,0,0,0,0,0,0,0,9,1,2,2
0,0,0,0,0,0,0,0,0,0,10,1,0,2
1,0,0,0,0,0,0,0,1,0,1,4,4,2
1,0,0,0,0,0,0,0,1,0,1,3,3,2
2,0,1,1,0,0,0,0,0,0,4,1,5,2
2,0,0,0,0,0,0,0,0,0,7,1,5,2
0,0,0,0,0,0,0,0,0,0,7,1,1,2
0,0,5,0,0,0,0,0,0,2,8,8,12,2
0,0,0,0,0,0,0,0,0,0,3,2,1,2
0,0,2,0,0,0,0,0,1,0,8,8,15,2
0,0,1,0,0,0,0,0,0,0,7,1,2,2
0,0,4,0,0,0,0,0,1,0,9,8,13,2
2,0,0,0,0,0,0,0,0,0,9,1,4,2
7,0,0,0,0,0,0,0,1,0,8,5,18,2
1,0,1,0,0,0,0,0,1,0,9,5,8,2
1,0,0,0,0,0,0,0,0,0,5,1,1,2
3,0,4,0,0,0,0,0,2,0,11,9,23,2
0,0,1,0,0,0,0,0,1,0,5,7,10,2
1,0,0,0,0,0,0,0,0,0,12,2,4,2
1,0,0,0,0,0,0,0,0,0,10,1,2,2
2,0,0,0,0,0,0,0,1,0,8,6,9,2
1,0,0,0,0,0,0,0,0,0,4,1,1,2
3,0,1,0,0,0,0,0,1,0,3,5,15,2
2,0,1,0,0,0,0,0,2,0,6,6,15,2
7,0,1,0,0,0,0,0,3,0,10,10,27,2
5,0,1,0,0,0,0,0,1,0,7,6,16,2
1,0,1,0,0,0,0,0,1,0,3,4,7,2
6,0,1,0,0,0,0,0,1,0,5,8,30,2
0,0,0,0,0,0,0,0,0,0,7,1,0,2
12,0,21,1,0,0,0,0,4,2,35,23,93,2
1,0,0,0,0,0,0,0,0,0,2,1,1,2
1,0,0,0,0,0,0,0,0,0,2,1,1,2
6,0,1,0,0,0,0,0,2,0,3,9,20,2
2,0,1,1,0,0,0,0,1,0,6,4,11,2
1,0,0,0,0,0,0,0,0,0,3,1,2,2
4,0,0,0,0,0,0,0,0,0,4,1,10,2
5,0,0,0,0,0,0,0,0,0,14,1,15,2
1,0,1,0,0,0,0,0,0,0,2,1,5,2
4,0,6,0,0,0,0,0,5,0,7,18,37,2
0,0,0,0,0,0,0,0,0,0,1,1,0,2
2,0,3,0,0,0,0,0,2,0,10,6,13,2
2,0,6,0,0,0,0,0,0,5,13,1,13,2
8,0,1,0,0,0,0,0,5,0,9,10,32,2
2,0,0,0,0,0,0,0,0,0,2,1,2,2
21,0,16,0,0,4,0,0,6,0,35,17,86,2
1,0,0,0,0,0,0,0,0,0,5,1,2,2
21,0,6,0,0,0,0,0,4,0,52,32,87,2
2,0,7,0,0,0,0,0,1,2,19,8,19,2
3,0,3,0,0,0,1,0,3,0,11,8,20,2
3,0,3,0,0,0,1,0,3,0,11,8,20,2
0,0,1,0,0,0,0,0,1,0,7,5,7,2
1,0,1,0,0,0,0,0,1,0,6,4,9,2
2,0,1,0,0,0,0,0,1,0,5,5,11,2
5,0,6,0,0,0,1,0,0,2,13,4,23,2
1,0,0,0,0,0,0,0,0,0,5,1,3,2
1,0,2,0,0,0,0,0,1,0,7,8,14,2
1,0,0,0,0,0,0,0,0,0,4,2,4,2
1,0,1,0,0,0,0,0,0,0,2,1,5,2
1,0,1,0,0,0,0,0,0,0,2,1,5,2
5,0,5,0,0,0,0,0,0,0,14,6,26,2
1,0,0,0,0,0,0,0,0,0,2,1,1,2
2,0,0,0,0,0,0,0,0,0,7,1,5,2
7,0,5,0,0,0,0,0,0,0,14,6,28,2
3,0,6,0,0,0,0,0,0,3,17,3,15,2
6,0,8,0,0,0,0,1,2,3,22,8,32,2
2,0,0,0,0,0,0,0,0,0,3,1,2,2
0,0,0,0,0,0,0,0,0,0,2,1,0,2
1,0,0,0,0,0,0,0,0,0,7,1,1,2
10,0,0,0,0,0,0,0,0,0,24,2,31,2
3,0,6,0,0,0,0,0,1,0,10,8,26,2
0,0,0,0,0,0,0,0,0,0,2,1,0,2
17,0,8,0,0,0,0,0,2,2,36,17,90,2
3,0,1,0,0,0,0,0,2,0,2,9,13,2
9,0,12,0,1,0,1,1,5,2,30,17,49,2
1,0,5,0,0,0,0,0,0,2,9,8,13,2
5,0,1,0,0,0,0,0,0,0,3,4,13,2
2,0,0,0,0,0,0,0,2,0,1,4,5,2
7,0,0,0,0,0,0,0,0,0,2,2,17,2
0,0,0,0,0,0,0,0,0,0,4,1,0,2
2,0,0,0,0,0,0,0,0,0,4,1,5,2
1,0,0,0,0,0,0,0,0,0,3,1,1,2
2,0,0,0,0,0,0,0,0,0,6,1,4,2
1,0,1,0,0,0,0,0,1,0,10,6,12,2
0,0,2,0,0,0,0,0,0,0,2,3,5,2
3,0,1,0,0,0,0,0,0,0,4,3,7,2
3,0,0,0,0,0,0,0,0,0,2,1,7,2
5,0,1,0,0,0,0,0,1,0,2,7,19,2
6,0,0,0,0,0,0,0,0,0,10,2,10,2
6,0,4,0,0,1,0,0,0,2,14,2,19,2
24,0,5,2,0,1,0,0,2,0,12,8,72,2
24,0,1,0,0,0,0,0,0,0,14,1,34,2
6,0,0,0,0,0,0,0,0,0,2,1,15,2
0,0,1,0,0,0,0,0,0,0,7,1,2,2
10,0,2,0,0,0,0,0,5,0,17,10,35,2
1,0,0,0,0,0,0,0,0,0,4,1,1,2
3,0,2,0,0,0,0,0,2,0,10,8,17,2
0,0,0,0,0,0,0,0,0,0,4,1,0,2
2,0,0,0,0,0,0,0,0,0,6,1,4,2
0,0,0,0,0,0,0,0,0,0,12,1,0,2
0,0,1,0,0,0,0,0,1,0,2,2,3,2
4,0,2,0,0,0,0,0,1,0,34,10,28,2
1,0,0,0,0,0,0,0,0,0,2,1,1,2
0,0,1,0,0,0,0,0,0,0,5,1,2,2
0,0,1,0,0,0,0,0,0,0,4,1,2,2
3,0,0,0,0,0,0,0,0,0,2,1,8,2
4,0,1,0,0,0,0,0,0,0,14,2,10,2
4,1,3,4,0,0,0,0,2,0,11,7,22,2
0,0,5,0,0,0,0,0,0,2,12,8,12,2
0,0,0,0,0,0,0,0,0,0,4,1,0,2
6,0,0,0,0,0,0,0,0,0,4,1,10,2
1,0,1,0,0,0,0,0,0,0,2,1,5,2
2,0,1,0,0,0,0,0,1,0,4,6,13,2
2,0,6,0,0,0,0,0,0,4,10,2,15,2
2,0,5,0,0,0,0,0,0,2,8,8,14,2
6,0,3,0,0,0,1,0,1,0,10,6,25,2
1,0,0,0,0,0,0,0,0,0,6,1,1,2
26,0,10,0,0,0,0,0,5,2,23,22,104,2
16,0,7,0,0,0,0,0,4,2,50,12,61,2
0,0,5,0,0,0,0,0,0,2,8,8,12,2
21,0,15,0,0,1,0,0,6,0,34,21,87,2
0,0,0,0,0,0,0,0,0,0,1,2,1,2
5,0,1,0,0,0,0,0,1,0,5,3,13,4
10,0,2,0,0,0,0,0,0,0,15,6,38,4
7,0,3,0,0,0,0,0,1,0,8,7,33,4
5,0,1,0,0,0,0,0,0,0,6,1,10,4
16,0,7,0,0,0,0,0,2,0,22,12,61,4
10,0,2,0,0,0,0,0,0,0,15,6,38,4
12,0,2,0,0,0,0,0,0,0,15,6,44,4
5,0,2,1,0,0,0,0,2,0,12,6,25,4
5,0,3,0,0,0,0,0,3,0,6,9,26,4
4,0,2,0,0,0,0,0,3,0,12,7,18,4
4,0,1,0,0,0,0,0,0,0,6,1,9,4
3,0,2,0,0,0,0,0,0,0,7,3,10,4
3,0,1,0,0,0,0,0,0,0,7,2,6,4
3,0,1,0,0,0,0,0,2,0,12,4,16,4
7,0,0,0,0,0,0,0,1,0,5,2,16,4
5,0,1,0,0,0,0,0,2,0,2,4,22,4
5,0,0,0,0,0,0,0,2,0,7,2,14,4
4,0,1,0,0,0,0,0,1,0,13,2,16,4
4,0,2,0,0,0,0,0,0,0,8,3,18,4
7,0,0,0,0,0,0,0,1,0,5,2,16,4
7,0,0,0,0,0,0,0,2,0,2,3,19,4
2,0,1,0,0,0,0,0,1,0,5,2,9,4
4,0,1,0,0,0,0,0,0,0,14,2,15,4
3,0,2,0,0,0,0,0,1,0,3,4,16,4
10,0,2,0,0,0,0,0,1,0,10,3,34,4
5,0,2,0,0,0,0,0,0,0,11,4,22,4
4,0,1,0,0,0,0,0,0,0,9,2,13,4
2,0,1,0,0,0,0,0,0,0,5,2,9,4
2,0,1,0,0,0,0,0,0,0,4,2,9,4
10,0,0,0,0,0,0,0,2,0,3,3,24,4
0,0,2,0,0,0,0,0,0,0,3,3,5,4
5,0,0,0,0,0,0,0,1,0,3,2,11,4
5,0,0,0,0,0,0,0,1,0,19,2,11,4
4,0,0,0,0,0,0,0,1,0,6,2,9,4
4,0,1,0,0,0,0,0,2,0,2,4,13,4
11,0,0,0,0,0,0,0,2,0,6,4,25,4
9,0,0,0,0,0,0,0,1,0,6,3,20,4
7,0,0,0,0,0,0,0,1,0,5,2,16,4
4,0,2,0,0,0,0,0,1,0,8,3,14,4
3,0,0,0,0,0,0,0,1,0,3,2,8,4
5,0,0,0,0,0,0,0,1,0,3,2,11,4
2,0,0,0,0,0,0,0,2,0,3,3,6,4
5,0,0,0,0,0,0,0,1,0,19,2,11,4
6,0,0,0,0,0,0,0,1,0,6,2,13,4
3,0,0,0,0,0,0,0,1,0,4,2,8,4
3,0,0,0,0,0,0,0,1,0,4,2,7,4
6,0,3,0,0,0,0,0,1,2,15,8,24,4
4,0,4,1,0,0,0,0,1,0,8,6,24,4
5,0,1,0,0,0,0,0,0,0,6,1,10,4
3,0,2,0,0,0,0,0,0,0,10,2,12,4
7,0,0,0,0,0,0,0,2,0,8,4,19,4
5,0,1,0,0,0,0,0,0,0,5,1,17,4
0,0,1,0,0,0,0,0,0,0,5,1,2,0
17,0,15,0,0,0,0,0,3,2,37,18,84,0
21,0,16,0,0,0,0,0,3,3,40,20,98,0
3,0,2,0,0,0,0,0,0,0,8,1,10,0
3,0,4,0,0,0,0,0,0,0,8,1,13,0
3,0,2,0,0,0,0,0,0,0,7,1,10,0
13,0,15,0,0,0,0,0,3,2,45,18,77,0
16,0,16,0,0,0,0,0,3,3,45,20,90,0
3,0,3,0,0,0,0,0,0,0,7,2,10,0
7,0,5,4,0,0,0,0,0,0,3,2,26,0
7,0,6,1,0,0,0,0,0,0,27,5,32,0
3,0,5,1,0,0,0,0,1,0,14,9,24,0
5,0,5,0,0,0,0,0,2,3,12,8,25,0
2,0,3,0,0,0,0,0,0,3,7,1,9,0
2,0,2,0,0,0,0,0,0,2,10,1,8,0
11,0,4,0,0,0,0,0,3,0,13,9,37,0
1,0,2,0,0,0,0,0,0,0,5,1,5,0
4,0,4,1,0,0,0,0,0,0,10,1,11,0
9,0,5,0,0,0,0,0,1,0,9,6,44,0
3,0,4,0,0,0,0,0,0,0,9,1,14,0
0,0,2,0,0,0,0,0,0,0,5,2,2,0
4,0,3,0,0,0,0,0,0,0,7,2,11,0
2,0,3,0,0,0,0,0,0,2,7,2,8,0
2,0,4,0,0,0,0,0,0,0,9,2,13,0
6,0,2,0,0,0,0,0,0,0,8,4,19,0
1,0,1,0,0,0,0,0,0,0,6,2,4,0
6,0,4,1,0,0,0,0,0,0,9,4,21,0
3,0,2,0,0,0,1,0,0,0,8,2,5,0
1,0,2,0,0,0,0,0,0,0,8,3,7,0
0,0,2,0,0,0,0,0,0,0,4,2,5,0
1,0,2,0,0,0,0,0,0,2,5,2,4,0
1,0,1,0,0,0,0,0,1,0,3,3,3,0
1,0,2,0,0,0,0,0,0,0,6,2,6,0
3,0,1,0,0,0,0,0,0,0,5,2,6,0
2,0,1,0,0,0,0,0,0,0,5,2,6,0
0,1,1,2,0,0,0,0,0,0,4,2,6,0
1,0,1,0,0,0,0,0,0,0,4,2,4,0
3,0,1,0,0,0,0,0,0,0,9,2,9,0
0,0,1,0,0,0,0,0,0,0,3,2,2,0
1,0,1,0,0,0,0,0,0,0,3,2,4,0
0,0,1,0,0,0,0,0,0,0,1,2,1,0
2,0,1,0,0,0,0,0,1,0,2,2,6,0
1,0,0,0,0,0,0,0,1,0,1,2,3,0
0,0,1,0,0,0,0,0,0,0,3,2,2,0
0,0,3,0,0,0,0,0,0,0,6,3,4,0
3,0,1,0,0,0,0,0,0,0,4,2,5,0
4,0,0,0,0,0,0,0,1,0,1,2,9,0
4,0,1,0,0,0,0,0,0,0,3,2,8,0
1,0,5,0,0,0,0,0,1,0,7,4,8,0
0,0,1,0,0,0,0,0,0,0,3,2,2,0
0,0,1,0,0,0,0,0,0,0,5,2,3,0
1,0,1,0,0,0,0,0,0,0,5,2,4,0
3,0,1,0,0,0,0,0,0,0,4,2,8,0
0,0,1,0,0,0,0,0,0,0,6,2,3,0
3,0,1,0,0,0,0,0,0,0,4,2,8,0
3,0,1,0,0,0,0,0,0,0,6,2,9,0
0,0,1,0,0,0,0,0,0,0,3,2,2,0
0,0,1,0,0,0,0,0,0,0,3,2,3,0
2,0,1,0,0,0,0,0,0,0,4,2,5,0
2,0,1,0,0,0,0,0,0,0,3,2,6,0
0,0,4,0,0,0,0,0,0,2,6,2,5,0
3,0,2,0,0,0,0,0,0,0,9,2,9,0
1,0,3,0,0,0,0,0,0,0,7,2,7,0
5,0,0,0,0,0,0,0,1,0,3,2,11,0
0,0,1,0,0,0,0,0,0,0,5,3,3,0
3,0,4,0,0,0,0,0,0,0,8,2,8,0
3,0,0,0,0,0,0,0,6,0,1,7,6,0
2,0,0,0,0,0,0,0,2,0,4,3,5,0
4,0,0,0,0,0,0,0,3,0,4,6,9,0
2,0,2,0,0,0,0,0,0,0,5,3,7,0
7,0,2,0,0,0,0,0,1,0,5,6,21,0
3,0,0,0,0,0,0,0,1,0,3,3,6,0
3,0,0,0,0,0,0,0,1,0,2,2,5,0
5,0,3,0,0,0,0,0,0,0,5,2,12,0
5,0,1,0,0,0,0,0,0,0,3,2,11,0
2,0,2,0,0,0,0,0,0,0,3,2,6,0
4,0,1,0,0,0,0,0,0,0,3,2,9,0
1,0,2,0,0,0,0,0,0,0,6,2,5,0
5,0,1,0,0,0,0,0,5,0,4,8,15,0
3,0,0,0,0,0,0,0,2,0,3,5,7,0
7,0,1,0,0,0,0,0,0,0,5,2,16,0
9,0,0,0,0,0,0,0,4,0,1,5,17,0
3,0,1,0,0,0,0,0,1,0,7,4,10,0
2,0,0,0,0,0,0,0,2,0,3,3,5,0
4,0,2,1,0,0,0,0,0,0,6,2,10,0
3,0,0,0,0,0,0,0,3,0,7,4,8,0
2,0,3,0,0,0,0,0,2,0,3,6,11,0
2,0,1,0,0,0,0,0,1,0,1,3,6,0
2,0,1,0,0,0,0,0,1,0,1,3,5,0
3,0,0,0,0,0,0,0,2,0,2,4,6,0
2,0,0,0,0,0,0,0,2,0,2,3,5,0
3,0,0,0,0,0,0,0,2,0,4,4,8,0
2,0,2,0,0,0,0,0,1,0,5,3,8,0
4,0,0,0,0,0,0,0,2,0,5,3,7,0
6,0,2,1,0,0,0,0,1,0,5,3,15,0
4,0,3,1,0,0,0,0,0,0,9,4,14,0
5,0,0,0,0,0,0,0,1,0,2,2,9,0
10,0,0,0,0,0,0,0,1,0,3,3,18,0
5,0,0,0,0,0,0,0,2,0,3,4,12,0
4,0,0,0,0,0,0,0,2,0,2,3,11,0
10,0,2,0,0,0,0,0,0,0,8,2,22,0
4,0,0,0,0,0,0,0,3,0,4,4,9,0
4,0,1,0,0,0,0,0,2,0,4,5,13,0
4,0,0,0,0,0,0,0,1,0,1,2,8,0
6,0,1,0,0,0,0,0,0,0,4,2,14,0
12,0,2,1,0,0,0,0,2,2,15,5,41,0
3,0,0,0,0,0,0,0,1,0,3,2,6,0
7,0,3,1,0,2,0,0,1,0,10,5,22,0
3,0,2,1,0,0,0,0,0,0,5,3,13,0
3,0,0,0,0,0,0,0,1,0,1,2,6,0
3,0,0,0,0,0,0,0,1,0,2,2,10,0
9,0,0,0,0,0,0,0,2,0,4,5,18,0
4,0,1,0,0,0,0,0,1,0,4,3,10,0
2,0,0,0,0,0,0,0,1,0,2,3,4,0
5,0,2,1,0,0,0,0,0,0,6,3,12,0
2,0,0,0,0,0,0,0,1,0,1,2,3,0
2,0,0,0,0,0,0,0,1,0,3,4,5,0
3,0,2,0,0,0,0,0,3,0,8,7,12,0
1,0,1,0,0,0,0,0,0,0,2,2,3,0
2,0,0,0,0,0,0,0,2,0,5,3,7,0
2,0,0,0,0,0,0,0,3,0,2,4,7,0
2,0,1,0,0,0,0,0,1,0,3,3,11,0
5,0,1,0,0,0,0,0,0,0,6,2,12,0
4,0,2,0,0,0,0,0,0,0,6,3,13,0
4,0,0,0,0,0,0,0,4,0,2,5,12,0
7,0,3,0,0,0,0,0,1,0,7,4,19,0
3,0,1,0,0,0,0,0,0,0,3,2,12,0
4,0,1,0,0,0,0,0,0,0,3,2,10,0
4,0,3,1,0,0,0,0,0,0,5,2,16,0
6,0,0,0,0,0,0,0,3,0,4,5,20,0
8,0,1,0,0,0,0,0,5,0,5,7,21,0
6,0,4,0,0,0,0,0,0,0,10,5,19,0
5,0,1,0,0,0,0,0,3,0,7,6,12,0
4,0,0,0,0,0,0,0,6,0,2,7,11,0
3,0,4,0,0,0,0,0,1,0,9,3,11,0
4,0,2,0,0,0,0,0,0,0,9,2,10,0
7,0,1,0,0,0,0,0,0,0,7,2,17,0
6,0,1,0,0,0,0,0,0,0,6,2,19,0
0,0,0,0,0,0,0,0,0,0,3,2,1,0
1,0,1,0,0,0,0,0,0,0,5,2,6,0
5,0,4,0,0,0,0,0,0,0,12,2,12,0
1,0,2,0,0,0,0,0,0,0,7,3,6,0
1,0,1,0,0,0,0,0,0,0,4,2,4,0
2,0,2,0,0,0,0,0,0,0,3,2,4,0
3,0,2,0,0,0,0,0,0,0,4,2,12,0
5,0,3,0,1,0,0,0,0,0,9,3,13,0
1,0,2,0,0,0,0,0,0,0,4,2,6,0
4,0,0,0,0,0,0,0,1,0,2,2,8,0
0,0,1,0,0,0,0,0,0,0,3,2,2,0
4,0,1,0,0,0,0,0,0,0,3,2,9,0
4,0,1,0,0,0,0,0,0,0,5,2,10,0
1,0,1,0,0,0,0,0,0,0,5,2,3,0
2,0,2,0,0,0,0,0,0,0,4,2,6,0
2,0,4,0,0,0,0,0,0,0,5,2,8,0
1,0,1,0,0,0,0,0,0,0,3,2,5,0
1,0,1,0,0,0,0,0,0,0,4,2,4,0
2,0,1,0,0,0,0,0,0,0,4,2,7,0
4,0,1,0,0,0,0,0,0,0,3,2,9,0
2,0,1,0,0,0,0,1,0,0,4,2,4,0
3,0,1,0,0,0,0,0,0,0,5,2,6,0
2,0,1,0,0,0,0,0,0,0,4,2,5,0
2,0,1,0,0,0,0,0,0,0,9,2,5,0
4,0,2,1,0,0,0,0,0,0,6,2,10,0
3,0,1,0,0,0,0,0,0,0,2,2,9,0
4,0,1,0,0,0,0,0,0,0,3,2,9,0
3,0,2,0,0,0,0,0,0,2,5,1,9,0
3,0,1,0,0,0,0,0,0,0,6,1,6,0
2,0,1,0,0,0,0,0,0,0,3,1,4,0
2,0,2,0,0,0,0,0,0,0,5,1,8,0
0,0,3,0,0,0,0,0,0,0,7,1,6,0
1,0,2,0,0,0,0,0,0,0,6,1,5,0
2,0,1,0,0,0,0,0,0,0,5,1,7,0
1,0,1,0,0,0,0,0,0,0,5,2,4,0
7,0,2,0,0,0,0,0,0,0,14,1,19,0
2,0,4,0,0,0,0,0,0,0,10,1,13,0
1,0,2,0,0,0,0,0,0,0,5,1,5,0
0,0,1,0,0,0,0,0,0,0,6,2,3,0
2,0,3,0,0,0,0,0,0,0,8,1,11,0
2,0,3,0,0,0,0,0,0,0,10,1,12,0
16,0,11,1,0,0,0,0,2,0,28,11,65,0
4,0,5,0,0,0,0,0,0,3,14,1,11,0
3,0,2,1,0,0,0,0,0,0,6,6,12,0
3,0,1,1,0,1,0,0,0,0,12,1,7,0
1,0,2,0,0,0,0,0,0,0,6,1,3,0
2,0,3,0,0,0,0,0,0,0,9,2,12,0
1,0,1,0,0,0,0,0,0,0,4,2,3,0
1,0,2,0,0,0,0,0,0,0,6,1,3,0
0,0,2,0,0,0,0,0,0,2,5,1,2,0
3,0,3,0,0,0,0,2,0,0,11,1,17,0
7,0,4,0,0,0,1,0,1,0,11,5,26,0
10,0,11,3,0,0,0,0,0,0,24,10,53,0
1,0,2,0,0,0,0,0,0,0,5,2,6,0
3,0,2,1,0,0,0,0,2,0,5,9,16,0
0,0,1,0,0,0,0,0,0,0,4,1,2,0
7,0,2,4,0,0,0,0,0,0,5,1,17,0
12,0,1,0,0,0,0,0,0,0,12,3,28,0
1,0,1,0,0,0,0,0,0,0,5,2,3,0
9,0,6,5,0,0,0,0,0,0,12,1,29,0
1,0,6,0,0,0,0,0,0,0,16,1,15,0
2,0,2,0,0,0,0,0,0,0,10,2,8,0
1,0,2,0,0,0,0,0,0,0,11,1,6,0
8,0,4,0,0,1,0,0,1,0,11,6,30,0
6,0,3,0,0,1,0,0,0,0,7,1,18,0
10,0,4,0,0,1,0,0,1,0,12,3,34,0
7,0,4,0,0,1,0,1,0,0,15,1,16,0
1,0,2,0,0,0,0,0,0,0,5,3,9,0
11,0,8,0,0,0,0,0,1,0,9,7,40,0
4,0,6,0,0,0,0,0,2,0,21,8,22,0
9,0,6,0,0,0,0,0,2,0,20,8,44,0
1,0,2,0,0,0,0,0,0,0,6,4,5,0
4,0,2,0,0,0,0,0,0,0,11,1,14,0
0,0,1,0,0,0,0,0,0,0,7,1,2,0
13,0,11,0,0,0,0,0,2,0,17,7,65,0
2,0,2,0,0,0,0,0,0,0,10,1,6,0
1,0,2,0,0,0,0,0,1,0,4,3,8,0
2,0,1,0,0,0,0,0,0,0,8,1,5,0
2,0,3,0,0,0,0,0,0,0,9,2,8,0
1,0,1,1,0,0,0,0,0,0,5,1,4,0
3,0,1,0,0,0,0,0,0,0,7,1,6,0
1,0,3,0,0,0,0,0,0,0,8,1,8,0
4,0,4,0,0,0,0,0,1,0,15,4,22,0
9,0,2,0,0,0,0,0,0,2,8,1,17,0
7,0,6,0,0,0,0,0,3,0,18,8,39,0
2,0,2,0,0,0,0,0,0,0,6,2,7,0
2,0,4,2,0,0,0,0,0,0,12,1,14,0
3,0,4,0,0,0,0,0,0,0,5,1,14,0
2,0,1,0,0,0,0,0,0,0,7,1,6,0
0,0,3,0,0,0,0,0,0,0,10,1,5,0
2,0,3,0,0,0,0,0,0,0,10,1,12,0
16,0,11,1,0,0,0,0,2,0,28,11,65,0
4,0,5,0,0,0,0,0,0,3,14,1,11,0
3,0,2,1,0,0,0,0,0,0,6,6,12,0
3,0,1,1,0,1,0,0,0,0,12,1,7,0
3,0,2,1,0,0,0,0,0,0,8,2,12,0
1,0,2,0,0,0,0,0,0,0,6,1,3,0
2,0,3,0,0,0,0,0,0,0,9,2,12,0
1,0,2,0,0,0,0,0,0,0,6,1,3,0
0,0,2,0,0,0,0,0,0,2,5,1,2,0
3,0,3,0,0,0,0,2,0,0,11,1,17,0
7,0,4,0,0,0,1,0,1,0,11,5,26,0
10,0,11,3,0,0,0,0,0,0,24,10,53,0
1,0,2,0,0,0,0,0,2,0,7,7,12,0
0,0,6,0,0,0,0,0,0,2,13,8,14,0
1,0,1,0,0,0,0,0,0,0,11,1,3,0
0,0,3,0,0,0,0,0,0,2,6,1,3,0
7,0,4,1,0,0,0,0,0,0,11,2,28,0
2,0,2,1,0,0,0,0,0,0,8,1,10,0
8,0,10,0,0,0,0,0,3,0,23,15,43,0
2,0,6,0,0,0,0,0,0,0,12,1,14,0
1,0,1,0,0,0,0,0,0,0,6,1,4,0
4,0,6,0,0,0,0,0,2,0,19,9,27,0
6,0,6,0,0,0,0,0,3,0,16,8,26,0
25,0,5,0,0,0,0,0,1,0,21,4,68,0
13,0,7,1,0,0,0,0,6,0,17,13,44,0
9,0,12,1,0,0,0,0,0,0,20,7,46,0
2,0,1,0,0,0,0,0,0,0,7,1,7,0
16,0,27,1,0,0,0,0,13,2,39,28,74,0
0,0,2,0,0,0,0,0,0,0,8,1,2,0
3,0,4,0,0,0,0,0,0,0,9,1,11,0
12,0,8,0,0,0,0,0,4,0,23,12,53,0
2,0,2,1,0,0,0,0,0,0,9,1,9,0
4,0,3,0,0,0,0,0,0,0,12,2,10,0
2,0,7,0,0,0,0,0,2,0,11,4,19,0
1,0,2,0,0,0,0,0,0,0,12,1,4,0
3,0,3,3,0,0,0,0,1,0,2,6,20,0
7,0,7,0,0,0,0,0,1,0,22,7,40,0
1,0,1,0,0,0,0,0,1,0,5,4,7,0
