num_If,num_Loof,num_Recursive,num_Variables,num_Methods,num_Statements,complexity
0,0,0,2,1,0,2
1,1,0,3,1,5,2
2,0,0,4,1,4,2
0,1,1,6,2,3,2
11,0,0,7,1,26,2
6,3,3,13,11,25,2
2,3,1,9,6,11,2
0,5,0,12,8,12,2
0,0,0,10,1,0,2
0,0,0,3,1,0,2
0,0,0,2,1,1,2
4,1,0,6,1,10,2
10,2,1,9,8,30,2
1,0,0,4,1,1,2
9,22,5,34,21,66,2
2,1,2,6,6,15,2
10,6,5,13,17,49,2
3,0,0,4,1,9,2
2,0,0,7,1,2,2
1,0,0,6,2,4,2
0,2,0,9,1,2,2
0,0,0,10,1,0,2
1,0,1,1,4,4,2
1,0,1,1,3,3,2
2,1,0,4,1,5,2
2,0,0,7,1,5,2
0,0,0,7,1,1,2
0,5,0,8,8,12,2
0,0,0,3,2,1,2
0,2,1,8,8,15,2
0,1,0,7,1,2,2
0,4,1,9,8,13,2
2,0,0,9,1,4,2
7,0,1,8,5,18,2
1,1,1,9,5,8,2
1,0,0,5,1,1,2
3,4,2,11,9,22,2
0,1,1,5,7,10,2
1,0,0,12,2,4,2
1,0,0,10,1,2,2
2,0,1,8,6,9,2
1,0,0,4,1,1,2
3,1,1,3,5,15,2
2,1,2,6,6,15,2
7,1,3,10,10,26,2
5,1,1,7,6,16,2
1,1,1,3,4,7,2
6,1,1,5,8,30,2
0,0,0,7,1,0,2
12,21,4,35,23,93,2
1,0,0,2,1,1,2
1,0,0,2,1,1,2
6,1,2,3,9,20,2
2,1,1,6,4,11,2
1,0,0,3,1,2,2
4,0,0,4,1,10,2
5,0,0,14,1,15,2
1,1,0,2,1,5,2
4,6,5,7,18,37,2
0,0,0,1,1,0,2
2,3,2,10,6,13,2
2,6,0,13,1,13,2
8,1,5,9,10,31,2
2,0,0,2,1,2,2
21,16,6,35,17,83,2
1,0,0,5,1,2,2
21,6,4,52,32,87,2
2,7,1,19,8,19,2
3,3,3,11,8,20,2
3,3,3,11,8,20,2
0,1,1,7,5,7,2
1,1,1,6,4,9,2
2,1,1,5,5,11,2
5,6,0,13,4,23,2
1,0,0,5,1,3,2
1,2,1,7,8,14,2
1,0,0,4,2,4,2
1,1,0,2,1,5,2
1,1,0,2,1,5,2
5,5,0,14,6,26,2
1,0,0,2,1,1,2
2,0,0,7,1,5,2
7,5,0,14,6,28,2
3,6,0,17,3,15,2
6,8,2,22,8,32,2
2,0,0,3,1,2,2
0,0,0,2,1,0,2
1,0,0,7,1,1,2
10,0,0,24,2,31,2
3,6,1,10,8,26,2
0,0,0,2,1,0,2
17,8,2,36,17,86,2
3,1,2,2,9,13,2
9,12,5,30,17,49,2
1,5,0,9,8,13,2
5,1,0,3,4,13,2
2,0,2,1,4,5,2
7,0,0,2,2,17,2
0,0,0,4,1,0,2
2,0,0,4,1,5,2
1,0,0,3,1,1,2
2,0,0,6,1,4,2
1,1,1,10,6,12,2
0,2,0,2,3,5,2
3,1,0,4,3,7,2
3,0,0,2,1,7,2
5,1,1,2,7,19,2
6,0,0,10,2,10,2
6,4,0,14,2,19,2
24,5,2,12,8,72,2
24,1,0,14,1,34,2
6,0,0,2,1,15,2
0,1,0,7,1,2,2
10,2,5,17,10,34,2
1,0,0,4,1,1,2
3,2,2,10,8,17,2
0,0,0,4,1,0,2
2,0,0,6,1,4,2
0,0,0,12,1,0,2
0,1,1,2,2,3,2
4,2,1,34,10,28,2
1,0,0,2,1,1,2
0,1,0,5,1,2,2
0,1,0,4,1,2,2
3,0,0,2,1,8,2
4,1,0,14,2,10,2
4,3,2,11,7,22,2
0,5,0,12,8,12,2
0,0,0,4,1,0,2
6,0,0,4,1,10,2
1,1,0,2,1,5,2
2,1,1,4,6,13,2
2,6,0,10,2,15,2
2,5,0,8,8,14,2
6,3,1,10,6,25,2
1,0,0,6,1,1,2
26,10,5,23,22,104,2
16,7,4,50,12,61,2
0,5,0,8,8,12,2
21,15,6,34,21,84,2
0,0,0,1,2,1,2
5,1,1,5,3,13,4
10,2,0,15,6,37,4
7,3,1,8,7,33,4
5,1,0,6,1,10,4
16,7,2,22,12,58,4
10,2,0,15,6,37,4
12,2,0,15,6,43,4
5,2,2,12,6,25,4
5,3,3,6,9,26,4
4,2,3,12,7,18,4
4,1,0,6,1,9,4
3,2,0,7,3,10,4
3,1,0,7,2,6,4
3,1,2,12,4,16,4
7,0,1,5,2,16,4
5,1,2,2,4,22,4
5,0,2,7,2,14,4
4,1,1,13,2,16,4
4,2,0,8,3,18,4
7,0,1,5,2,16,4
7,0,2,2,3,19,4
2,1,1,5,2,9,4
4,1,0,14,2,15,4
3,2,1,3,4,16,4
10,2,1,10,3,34,4
5,2,0,11,4,22,4
4,1,0,9,2,13,4
2,1,0,5,2,9,4
2,1,0,4,2,9,4
10,0,2,3,3,24,4
0,2,0,3,3,5,4
5,0,1,3,2,11,4
5,0,1,19,2,11,4
4,0,1,6,2,9,4
4,1,2,2,4,13,4
11,0,2,6,4,25,4
9,0,1,6,3,20,4
7,0,1,5,2,16,4
4,2,1,8,3,14,4
3,0,1,3,2,8,4
5,0,1,3,2,11,4
2,0,2,3,3,6,4
5,0,1,19,2,11,4
6,0,1,6,2,13,4
3,0,1,4,2,8,4
3,0,1,4,2,7,4
6,3,1,15,8,24,4
4,4,1,8,6,24,4
5,1,0,6,1,10,4
3,2,0,10,2,12,4
7,0,2,8,4,19,4
5,1,0,5,1,17,4
0,1,0,5,1,2,0
17,15,3,37,18,82,0
21,16,3,40,20,94,0
3,2,0,8,1,10,0
3,4,0,8,1,13,0
3,2,0,7,1,10,0
13,15,3,45,18,75,0
16,16,3,45,20,86,0
3,3,0,7,2,10,0
7,5,0,3,2,26,0
7,6,0,27,5,32,0
3,5,1,14,9,24,0
5,5,2,12,8,25,0
2,3,0,7,1,9,0
2,2,0,10,1,8,0
11,4,3,13,9,37,0
1,2,0,5,1,5,0
4,4,0,10,1,11,0
9,5,1,9,6,44,0
3,4,0,9,1,14,0
0,2,0,5,2,2,0
4,3,0,7,2,11,0
2,3,0,7,2,8,0
2,4,0,9,2,13,0
6,2,0,8,4,19,0
1,1,0,6,2,4,0
6,4,0,9,4,21,0
3,2,0,8,2,5,0
1,2,0,8,3,7,0
0,2,0,4,2,5,0
1,2,0,5,2,4,0
1,1,1,3,3,3,0
1,2,0,6,2,6,0
3,1,0,5,2,6,0
2,1,0,5,2,6,0
0,1,0,4,2,6,0
1,1,0,4,2,4,0
3,1,0,9,2,9,0
0,1,0,3,2,2,0
1,1,0,3,2,4,0
0,1,0,1,2,1,0
2,1,1,2,2,6,0
1,0,1,1,2,3,0
0,1,0,3,2,2,0
0,3,0,6,3,4,0
3,1,0,4,2,5,0
4,0,1,1,2,9,0
4,1,0,3,2,8,0
1,5,1,7,4,8,0
0,1,0,3,2,2,0
0,1,0,5,2,3,0
1,1,0,5,2,4,0
3,1,0,4,2,8,0
0,1,0,6,2,3,0
3,1,0,4,2,8,0
3,1,0,6,2,9,0
0,1,0,3,2,2,0
0,1,0,3,2,3,0
2,1,0,4,2,5,0
2,1,0,3,2,6,0
0,4,0,6,2,5,0
3,2,0,9,2,9,0
1,3,0,7,2,7,0
5,0,1,3,2,11,0
0,1,0,5,3,3,0
3,4,0,8,2,8,0
3,0,6,1,7,6,0
2,0,2,4,3,5,0
4,0,3,4,6,9,0
2,2,0,5,3,7,0
7,2,1,5,6,21,0
3,0,1,3,3,6,0
3,0,1,2,2,5,0
5,3,0,5,2,12,0
5,1,0,3,2,11,0
2,2,0,3,2,6,0
4,1,0,3,2,9,0
1,2,0,6,2,5,0
5,1,5,4,8,15,0
3,0,2,3,5,7,0
7,1,0,5,2,16,0
9,0,4,1,5,17,0
3,1,1,7,4,10,0
2,0,2,3,3,5,0
4,2,0,6,2,10,0
3,0,3,7,4,8,0
2,3,2,3,6,11,0
2,1,1,1,3,6,0
2,1,1,1,3,5,0
3,0,2,2,4,6,0
2,0,2,2,3,5,0
3,0,2,4,4,8,0
2,2,1,5,3,8,0
4,0,2,5,3,7,0
6,2,1,5,3,15,0
4,3,0,9,4,14,0
5,0,1,2,2,9,0
10,0,1,3,3,18,0
5,0,2,3,4,12,0
4,0,2,2,3,11,0
10,2,0,8,2,22,0
4,0,3,4,4,9,0
4,1,2,4,5,13,0
4,0,1,1,2,8,0
6,1,0,4,2,14,0
12,2,2,15,5,41,0
3,0,1,3,2,6,0
7,3,1,10,5,22,0
3,2,0,5,3,13,0
3,0,1,1,2,6,0
3,0,1,2,2,10,0
9,0,2,4,5,18,0
4,1,1,4,3,10,0
2,0,1,2,3,4,0
5,2,0,6,3,12,0
2,0,1,1,2,3,0
2,0,1,3,4,5,0
3,2,3,8,7,12,0
1,1,0,2,2,3,0
2,0,2,5,3,7,0
2,0,3,2,4,7,0
2,1,1,3,3,11,0
5,1,0,6,2,12,0
4,2,0,6,3,13,0
4,0,4,2,5,12,0
7,3,1,7,4,19,0
3,1,0,3,2,12,0
4,1,0,3,2,10,0
4,3,0,5,2,16,0
6,0,3,4,5,20,0
8,1,5,5,7,21,0
6,4,0,10,5,19,0
5,1,3,7,6,12,0
4,0,6,2,7,11,0
3,4,1,9,3,11,0
4,2,0,9,2,10,0
7,1,0,7,2,17,0
6,1,0,6,2,19,0
0,0,0,3,2,1,0
1,1,0,5,2,6,0
5,4,0,12,2,12,0
1,2,0,7,3,6,0
1,1,0,4,2,4,0
2,2,0,3,2,4,0
3,2,0,4,2,12,0
5,3,0,9,3,13,0
1,2,0,4,2,6,0
4,0,1,2,2,8,0
0,1,0,3,2,2,0
4,1,0,3,2,9,0
4,1,0,5,2,10,0
1,1,0,5,2,3,0
2,2,0,4,2,6,0
2,4,0,5,2,8,0
1,1,0,3,2,5,0
1,1,0,4,2,4,0
2,1,0,4,2,7,0
4,1,0,3,2,9,0
2,1,0,4,2,4,0
3,1,0,5,2,6,0
2,1,0,4,2,5,0
2,1,0,9,2,5,0
4,2,0,6,2,10,0
3,1,0,2,2,9,0
4,1,0,3,2,9,0
3,2,0,5,1,9,0
3,1,0,6,1,6,0
2,1,0,3,1,4,0
2,2,0,5,1,8,0
0,3,0,7,1,6,0
1,2,0,6,1,5,0
2,1,0,5,1,7,0
1,1,0,5,2,4,0
7,2,0,14,1,19,0
2,4,0,10,1,13,0
1,2,0,5,1,5,0
0,1,0,6,2,3,0
2,3,0,8,1,11,0
2,3,0,10,1,12,0
16,11,2,28,11,62,0
4,5,0,14,1,11,0
3,2,0,6,6,12,0
3,1,0,12,1,7,0
1,2,0,6,1,3,0
2,3,0,9,2,12,0
1,1,0,4,2,3,0
1,2,0,6,1,3,0
0,2,0,5,1,2,0
3,3,0,11,1,17,0
7,4,1,11,5,26,0
10,11,0,24,10,53,0
1,2,0,5,2,6,0
3,2,2,5,9,16,0
0,1,0,4,1,2,0
7,2,0,5,1,17,0
12,1,0,12,3,28,0
1,1,0,5,2,3,0
9,6,0,12,1,29,0
1,6,0,16,1,15,0
2,2,0,10,2,8,0
1,2,0,11,1,6,0
8,4,1,11,6,30,0
6,3,0,7,1,18,0
10,4,1,12,3,34,0
7,4,0,15,1,16,0
1,2,0,5,3,9,0
11,8,1,9,7,40,0
4,6,2,21,8,22,0
9,6,2,20,8,44,0
1,2,0,6,4,5,0
4,2,0,11,1,14,0
0,1,0,7,1,2,0
13,11,2,17,7,64,0
2,2,0,10,1,6,0
1,2,1,4,3,8,0
2,1,0,8,1,5,0
2,3,0,9,2,8,0
1,1,0,5,1,4,0
3,1,0,7,1,6,0
1,3,0,8,1,8,0
4,4,1,15,4,22,0
9,2,0,8,1,17,0
7,6,3,18,8,38,0
2,2,0,6,2,7,0
2,4,0,12,1,14,0
3,4,0,5,1,14,0
2,1,0,7,1,6,0
0,3,0,10,1,5,0
2,3,0,10,1,12,0
16,11,2,28,11,62,0
4,5,0,14,1,11,0
3,2,0,6,6,12,0
3,1,0,12,1,7,0
3,2,0,8,2,12,0
1,2,0,6,1,3,0
2,3,0,9,2,12,0
1,2,0,6,1,3,0
0,2,0,5,1,2,0
3,3,0,11,1,17,0
7,4,1,11,5,26,0
10,11,0,24,10,53,0
1,2,2,7,7,12,0
0,6,0,13,8,14,0
1,1,0,11,1,3,0
0,3,0,6,1,3,0
7,4,0,11,2,28,0
2,2,0,8,1,10,0
8,10,3,23,15,43,0
2,6,0,12,1,14,0
1,1,0,6,1,4,0
4,6,2,19,9,27,0
6,6,3,16,8,26,0
25,5,1,21,4,68,0
13,7,6,17,13,40,0
9,12,0,20,7,46,0
2,1,0,7,1,7,0
16,27,13,39,28,71,0
0,2,0,8,1,2,0
3,4,0,9,1,11,0
12,8,4,23,12,49,0
2,2,0,9,1,9,0
4,3,0,12,2,10,0
2,7,2,11,4,19,0
1,2,0,12,1,4,0
3,3,1,2,6,20,0
7,7,1,22,7,40,0
1,1,1,5,4,7,0
17,10,1,41,9,69,0
0,2,0,6,1,2,0
2,1,0,5,1,7,0
2,4,0,13,2,13,0
2,2,0,8,2,8,0
3,5,0,14,1,15,0
8,4,0,11,4,25,0
1,3,1,8,4,11,0
2,2,0,7,2,8,0
0,2,0,7,1,3,0
6,12,1,26,8,39,0
0,1,0,4,1,2,0
0,3,0,8,5,15,0
0,7,0,13,8,15,0
0,1,0,5,2,1,0
2,1,0,3,2,8,0
4,3,1,9,9,23,0
5,4,3,10,12,25,0
1,4,0,13,1,9,0
2,2,0,6,1,8,0
0,1,0,11,2,2,0
2,3,0,9,1,12,0
3,17,0,34,2,29,0
1,1,0,6,1,4,0
0,1,0,4,1,2,0
4,5,0,12,1,22,0
2,3,1,4,5,11,0
0,1,0,6,1,1,0
2,3,0,8,1,11,0
2,6,0,10,2,15,0
10,8,0,23,3,40,0
0,1,0,5,1,2,0
7,2,0,10,1,21,0
3,2,0,8,2,9,0
2,3,0,9,1,7,0
1,2,0,3,1,4,0
5,2,0,9,1,11,0
2,3,0,15,1,8,0
3,4,14,11,24,27,0
3,4,2,8,6,17,0
2,6,1,13,6,24,0
1,7,0,13,8,18,0
1,1,0,10,1,4,0
4,5,0,13,1,20,0
2,1,1,10,3,6,0
1,1,2,14,6,10,0
2,2,0,10,1,9,0
2,2,0,9,1,9,0
1,3,0,12,1,9,0
2,1,0,6,2,8,0
2,3,0,10,4,10,0
4,2,0,9,2,11,0
3,1,0,5,1,11,0
3,8,0,12,1,21,0
4,2,0,7,2,12,0
11,6,14,17,24,49,0
0,2,0,5,4,3,0
0,2,0,4,2,3,0
7,0,0,4,1,23,0
10,6,5,18,10,42,0
3,3,0,4,2,15,0
3,2,1,7,8,21,0
18,9,5,19,15,69,0
40,29,9,64,27,158,0
1,1,1,10,6,11,0
7,5,1,13,8,38,0
1,1,0,5,1,4,0
1,7,0,14,8,15,0
3,2,1,9,6,17,0
2,2,0,6,2,10,0
2,3,1,7,8,22,0
4,3,1,10,2,13,0
2,6,0,17,1,16,0
3,5,3,11,6,19,0
12,4,0,24,1,30,0
1,2,0,9,2,7,0
4,6,0,13,1,20,0
26,19,4,43,22,100,0
26,12,3,33,18,99,0
15,7,5,24,9,56,0
2,2,0,7,1,8,0
0,3,0,10,2,7,0
1,3,0,13,2,8,0
0,4,0,12,1,7,0
2,3,0,5,2,8,0
1,3,0,7,2,9,0
0,4,0,11,1,8,0
1,4,1,10,8,21,0
7,3,0,12,2,17,0
21,21,4,41,25,93,0
3,3,1,6,6,20,0
3,2,0,8,1,12,0
3,2,0,10,1,11,0
3,2,0,10,1,11,0
3,2,0,8,2,10,0
3,2,0,8,1,9,0
17,13,4,36,21,82,0
0,1,0,4,1,2,0
0,1,0,5,1,2,0
0,1,0,4,2,2,0
2,1,0,4,2,7,0
3,1,0,5,2,8,0
3,2,2,8,5,13,0
1,2,0,8,3,8,0
0,2,0,6,2,3,0
1,2,0,4,3,8,0
1,1,0,4,2,4,0
1,1,0,3,2,6,0
0,1,0,3,2,3,0
0,3,0,5,3,6,0
3,2,0,6,2,7,0
3,3,0,6,2,11,0
2,1,0,5,2,5,0
0,3,1,5,4,3,1
2,4,2,9,10,21,1
7,13,1,26,12,51,1
2,3,0,12,1,10,1
2,3,1,5,6,16,1
2,4,1,3,6,17,1
1,3,0,6,2,7,1
0,5,0,14,1,7,1
3,4,1,12,3,17,1
1,6,1,12,7,21,1
1,2,0,6,2,5,1
1,2,0,2,2,5,1
3,2,1,8,4,13,1
1,3,0,8,2,6,1
1,3,0,5,2,7,1
2,2,0,5,2,7,1
3,2,0,7,2,8,1
2,2,0,6,2,10,1
4,3,1,12,4,16,1
2,2,0,7,2,9,1
2,5,0,4,2,14,1
6,5,0,4,2,22,1
3,3,0,5,2,9,1
1,3,0,2,3,9,1
0,3,0,6,2,6,1
0,2,0,7,2,5,1
0,2,0,5,3,3,1
0,5,0,9,3,9,1
2,4,0,12,4,12,1
6,1,2,6,4,16,1
1,2,0,4,2,5,1
2,2,0,6,2,8,1
0,2,0,6,2,5,1
0,3,0,7,2,4,1
2,2,0,9,2,7,1
3,3,0,8,3,12,1
0,0,0,2,2,1,1
1,2,0,5,3,5,1
1,2,0,5,2,4,1
0,2,0,6,2,2,1
2,5,0,14,3,12,1
2,2,0,7,2,8,1
2,2,0,7,2,8,1
1,2,0,5,2,4,1
2,4,0,9,2,10,1
0,3,0,4,2,5,1
0,3,0,4,2,7,1
1,2,0,3,3,7,1
1,2,0,4,2,6,1
0,4,0,11,2,7,1
1,7,1,9,4,9,1
2,4,0,8,2,9,1
6,3,0,8,2,15,1
1,2,0,6,2,7,1
0,2,0,6,2,4,1
4,2,2,4,3,14,1
3,2,0,5,2,8,1
2,6,0,11,2,10,1
2,4,0,4,2,7,1
2,4,0,8,2,9,1
2,4,0,8,2,9,1
2,4,0,7,2,7,1
3,3,0,7,2,11,1
2,4,0,3,2,7,1
2,8,0,6,2,17,1
1,4,0,8,2,6,1
0,5,0,8,2,6,1
1,4,0,3,3,8,1
2,2,0,3,2,10,1
5,1,1,4,3,13,1
5,2,0,5,3,13,1
2,2,0,8,2,8,1
2,2,0,9,2,10,1
2,3,0,7,2,11,1
5,8,0,7,2,22,1
3,7,0,6,2,11,1
2,2,0,7,2,9,1
2,3,0,7,2,9,1
3,4,0,10,3,14,1
3,4,0,8,2,12,1
0,4,0,11,3,9,1
5,3,0,8,2,14,1
3,3,0,7,2,9,1
3,1,1,5,3,6,1
2,1,1,6,3,6,1
6,1,2,6,4,16,1
5,1,2,5,4,13,1
4,1,2,8,4,12,1
5,4,1,7,2,16,1
4,1,3,6,4,12,1
4,1,2,9,5,13,1
8,0,3,2,4,13,1
4,0,2,2,3,9,1
4,0,3,2,4,10,1
6,1,2,10,5,17,1
2,5,0,12,4,12,1
2,5,0,11,4,11,1
2,3,0,9,2,10,1
2,4,0,9,2,10,1
2,4,0,9,3,9,1
2,5,0,10,3,11,1
3,4,2,10,6,11,1
2,2,0,3,2,9,1
2,2,0,4,2,8,1
2,3,0,12,1,10,1
11,9,1,23,12,45,1
5,6,1,11,5,23,1
6,7,0,20,3,30,1
3,4,0,10,1,10,1
3,4,1,11,6,20,1
3,5,0,16,2,19,1
2,4,1,10,6,20,1
6,6,0,9,2,27,1
4,6,0,16,2,22,1
4,3,0,10,2,18,1
3,4,0,9,1,17,1
7,5,0,12,1,25,1
2,3,0,11,1,11,1
2,2,0,8,2,8,1
4,4,1,12,6,24,1
5,5,0,12,2,24,1
5,8,1,10,8,35,1
10,6,0,13,1,34,1
1,4,0,11,1,10,1
3,5,0,10,2,18,1
1,3,0,12,1,8,1
13,11,2,27,16,50,1
0,4,0,9,2,8,1
7,3,0,10,1,25,1
1,2,0,7,2,6,1
6,7,0,20,3,30,1
3,4,0,10,1,10,1
3,4,1,11,6,20,1
3,5,0,16,2,19,1
2,4,1,10,6,20,1
6,6,0,9,2,27,1
0,2,0,7,2,5,1
4,6,0,16,2,22,1
4,3,0,10,2,18,1
2,3,0,8,1,10,1
9,8,2,26,8,48,1
26,30,2,47,16,112,1
2,2,0,3,2,10,1
2,7,0,12,8,16,1
4,4,1,16,4,18,1
20,16,1,32,17,84,1
1,2,0,7,1,5,1
2,4,0,10,1,12,1
2,4,0,4,2,7,1
3,4,0,11,1,10,1
5,2,0,14,2,11,1
4,7,0,13,1,22,1
2,3,0,8,1,11,1
7,8,0,19,2,36,1
5,3,0,8,1,18,1
11,12,1,27,9,61,1
12,14,2,38,9,44,1
2,3,0,12,1,12,1
3,6,0,13,2,18,1
1,2,0,4,2,4,1
1,2,0,10,1,6,1
4,8,0,10,2,19,1
12,16,1,29,16,50,1
1,2,0,7,1,7,1
1,5,1,16,5,17,1
9,7,2,11,11,34,1
2,2,0,5,2,8,1
6,8,0,30,3,35,1
10,7,2,14,3,36,1
1,4,4,9,12,20,1
2,4,0,11,2,14,1
10,15,2,29,9,58,1
0,2,0,7,1,4,1
13,7,4,27,10,52,1
20,9,1,21,13,78,1
5,8,1,22,7,33,1
5,5,14,15,22,30,1
6,7,1,17,6,34,1
1,2,0,3,2,4,1
22,19,7,48,31,109,1
1,4,0,7,1,10,1
9,12,3,16,14,50,1
2,2,0,3,2,9,1
5,9,2,17,10,41,1
5,5,0,11,2,22,1
12,2,0,16,3,29,1
9,32,6,67,34,125,1
9,5,0,4,1,22,1
14,4,0,16,1,40,1
14,4,0,15,1,40,1
4,6,0,13,1,13,1
10,8,3,29,12,48,1
9,6,1,20,7,28,1
3,2,0,7,2,8,1
0,2,0,4,2,4,1
2,3,2,7,6,8,1
4,2,0,6,2,10,1
4,2,0,6,2,10,1
0,4,0,10,2,6,3
2,2,0,8,2,9,3
0,3,0,4,2,5,3
4,7,1,15,3,18,3
1,2,0,8,1,4,3
0,3,0,8,1,3,3
0,3,0,10,1,4,3
2,4,0,12,1,8,3
0,4,1,10,6,13,3
0,0,0,4,2,1,3
2,1,1,7,3,9,3
0,0,0,2,2,1,3
3,1,0,10,4,8,3
4,1,1,4,3,13,3
2,3,0,7,2,8,3
4,3,3,6,5,22,3
0,1,0,4,2,2,3
3,2,0,6,3,9,3
2,1,0,5,2,6,3
1,1,0,5,2,5,3
0,0,0,2,2,1,3
7,3,0,9,2,12,3
2,2,0,7,2,6,3
1,1,0,4,2,4,3
2,3,1,8,6,11,3
2,1,0,5,2,7,3
1,2,1,11,3,8,3
4,6,1,14,5,16,3
2,7,0,16,4,15,3
0,2,0,6,2,5,3
0,1,0,4,2,3,3
1,1,0,8,2,5,3
1,4,0,9,2,9,3
0,1,0,3,2,1,3
0,1,0,5,2,2,3
1,2,0,6,2,5,3
1,1,0,5,2,5,3
2,1,0,5,2,5,3
2,1,0,4,2,6,3
1,2,1,11,3,10,3
0,2,0,7,3,6,3
0,1,0,6,2,2,3
6,3,2,13,10,24,3
0,1,0,6,2,2,3
0,1,0,5,3,2,3
2,1,0,5,2,7,3
4,1,0,10,2,10,3
1,1,0,6,2,5,3
1,2,0,6,2,6,3
5,2,1,11,4,15,3
0,1,0,3,2,1,3
0,0,0,2,2,1,3
2,6,0,12,2,14,3
3,4,0,12,1,15,3
2,6,0,13,1,17,3
6,4,0,15,2,25,3
4,5,0,13,3,18,3
4,1,0,9,1,13,3
3,1,0,9,2,8,3
1,4,0,7,3,8,3
2,3,0,8,2,13,3
2,3,0,12,2,10,3
1,2,0,10,1,5,3
2,2,0,11,1,8,3
3,2,0,10,1,10,3
4,5,1,17,5,25,3
8,2,0,20,2,21,3
3,5,0,10,1,17,3
9,9,1,25,10,52,3
3,5,0,15,4,19,3
3,5,3,11,6,19,3
1,3,0,11,1,7,3
3,13,4,41,14,45,3
4,4,0,14,1,19,3
7,4,1,10,5,22,3
4,2,0,10,2,15,3
2,5,0,17,2,12,3
6,4,0,15,2,25,3
4,5,0,13,3,18,3
4,1,0,9,1,13,3
3,1,0,9,2,8,3
2,3,0,8,2,13,3
2,3,0,12,2,10,3
4,1,0,10,2,10,3
2,3,1,12,5,17,3
11,13,3,38,16,54,3
1,7,1,23,6,21,3
10,5,2,10,7,39,3
18,9,2,21,11,68,3
10,20,3,40,17,67,3
14,8,1,21,9,45,3
1,4,1,17,6,16,3
1,2,0,10,1,5,3
4,16,2,32,15,53,3
21,11,6,21,12,85,3
0,4,0,11,2,6,3
2,5,1,10,7,22,3
5,6,2,16,7,28,3
7,7,1,23,5,35,3
4,9,2,13,11,33,3
10,7,2,14,7,36,3
1,1,0,6,1,5,3
5,3,0,14,1,17,3
1,1,0,3,2,3,3
14,3,1,20,5,34,3
5,6,1,14,10,31,3
5,3,0,12,1,16,3
20,18,5,38,28,100,3
0,7,0,16,8,16,3
22,12,6,35,20,81,3
15,14,3,30,15,78,3
74,11,24,80,60,264,3
1,1,0,3,2,3,3
7,4,1,22,4,23,3
10,11,5,21,18,56,3
1,4,0,13,3,9,3
4,5,1,10,9,33,3
5,3,0,11,1,16,3
4,4,0,13,1,19,3
7,10,2,13,8,45,3
8,3,0,14,9,31,3
7,24,11,50,17,47,3
1,1,0,5,1,3,3
0,1,0,4,3,4,3
3,4,1,13,6,24,3
4,7,3,20,15,29,3
2,3,0,7,2,11,3
8,11,3,24,16,57,3
2,2,1,9,1,9,3
2,2,0,9,1,9,3
9,9,3,15,12,45,3
2,4,2,5,4,13,3
6,6,3,16,13,31,3
23,6,2,23,19,79,3
19,17,4,36,22,82,3
1,3,0,11,1,7,3
5,2,1,11,4,15,3
9,3,2,26,9,29,3
4,6,0,24,4,28,3
9,3,2,29,8,39,3
6,4,3,14,10,21,3
2,2,0,11,1,5,3
9,4,0,17,8,38,3
1,3,2,11,7,15,3
2,3,1,9,6,16,3
4,5,2,12,7,21,3
4,5,4,10,10,28,3
4,4,0,15,1,13,3
